,ASrNo,Business Name,Add,UniqueId,F_Pincode,new_Add_3,raw_address,country,words_in_address,pin_codes_found,states_found,street_names_found,landmarks_found,shop_house_nos_found,districts_found,village_or_citys_found
34,5634,Surendra tea Stall,"Mam Durga Hanuman Mandlr, Near Zeenat Mahal School, Darya Ganj, Central Delhi",ICL06489044,110002,"Mam Durga Hanuman Mandlr, Near Zeenat Mahal School, Darya Ganj, Central Delhi","mam durga hanuman mandlr, near zeenat mahal school, darya ganj, central delhi",india,"['mam durga hanuman mandlr', 'central delhi', 'near zeenat mahal school', 'darya ganj']",,NCT of Delhi,,Near zeenat mahal school,,,
35,20002,Bhola Tea Stall,"Shop No 2752, Kotla Road Near Ip Post Office, Civic Centre, New Delhii",ICL23072098,110002,"Shop No 2752, Kotla Road Near Ip Post Office, Civic Centre, New Delhi","shop no 2752, kotla road near ip post office, civic centre, new delhii",india,"['civic centre', 'kotla road near ip post office', 'shop no 2752', 'new delhii']",,NCT of Delhi,Kotla road near ip post office,Kotla road near ip post office,Shop no 2752,,
36,20011,Kishan BhadurTea Shop,"4754-23, Dariya Ganj, Civic Centre, New Delhii",ICL02628702,110002,"4754-23, Dariya Ganj, Civic Centre, New Delhi","4754-23, dariya ganj, civic centre, new delhii",india,"['civic centre', '4754-23', 'new delhii', 'dariya ganj']",,NCT of Delhi,,,,,
37,20012,Mahaveer Tea Stall,"94240-1, Ansari Road, Darya Ganj, Central",ICL04942181,110002,"94240-1, Ansari Road, Darya Ganj, Central","94240-1, ansari road, darya ganj, central",india,"['ansari road', '94240-1', 'central', 'darya ganj']",,,Ansari road,,,,
38,20021,Aniket tea shop,"Mata Sundri Road, Into Road, Minto Road, Central",ICL09804705,110002,"Mata Sundri Road, Into Road, Minto Road, Central","mata sundri road, into road, minto road, central",india,"['mata sundri road', 'into road', 'central', 'minto road']",,,"Mata sundri road, Minto road, Into road",,,,
39,20034,Arpit Tea shop,"Main Road, Dariya Ganj, Darya Ganj, Central",ICL13119613,110002,"Main Road, Dariya Ganj, Darya Ganj, Central","main road, dariya ganj, darya ganj, central",india,"['darya ganj', 'central', 'main road', 'dariya ganj']",,,Main road,,,,
40,20047,Mukesh Tea Stall,"Bal Bhaban, Vishnu Digmbararg, Civic Centre, New Delhii",ICL38997633,110002,"Bal Bhaban, Vishnu Digmbararg, Civic Centre, New Delhi","bal bhaban, vishnu digmbararg, civic centre, new delhii",india,"['civic centre', 'vishnu digmbararg', 'bal bhaban', 'new delhii']",,NCT of Delhi,,,,,
41,20049,Pawan tea shop,"Kotla Road, Ito, L.P.Estate, Central",ICL35444131,110002,"Kotla Road, Ito, L.P.Estate, Central","kotla road, ito, l.p.estate, central",india,"['l.p.estate', 'kotla road', 'ito', 'central']",,,Kotla road,,,,
42,20117,Lalit Tea Stall,"915, Ansari Market Darya Ganj, Darya Ganj, Central",ICL07451698,110002,"915, Ansari Market Darya Ganj, Darya Ganj, Central","915, ansari market darya ganj, darya ganj, central",india,"['central', 'ansari market darya ganj', '915', 'darya ganj']",,,,,,,
43,20145,Balaji Tea Stall,"Shop No.9, Ito Civic Centre, L.P.Estate, Central",ICL00560253,110002,"Shop No.9, Ito Civic Centre, L.P.Estate, Central","shop no.9, ito civic centre, l.p.estate, central",india,"['l.p.estate', 'ito civic centre', 'central', 'shop no.9']",,,,,Shop no.9,,
44,20163,Dharampal tea shop,"Mata Sundari Road, Mata Sundri Road, Civic Centre, New Delhii",ICL14822178,110002,"Mata Sundari Road, Mata Sundri Road, Civic Centre, New Delhi","mata sundari road, mata sundri road, civic centre, new delhii",india,"['civic centre', 'mata sundri road', 'new delhii', 'mata sundari road']",,NCT of Delhi,"Mata sundri road, Mata sundari road",,,,
45,20082,Noushad hotel,"3296 Delhi Gate Bazar, New Delhii, Ajmeri Gate Extn., Central",ICL25694158,110002,"3296 Delhi Gate Bazar, New Delhi, Ajmeri Gate Extn., Central","3296 delhi gate bazar, new delhii, ajmeri gate extn., central",india,"['3296 delhi gate bazar', 'central', 'ajmeri gate extn.', 'new delhii']",,NCT of Delhi,,,,,
